#provid;title;r;g;b;r2;g2;b2;english;french;german;spanish
;e_arctica;231;240;253;;;;Arctica;;;
;k_saguenay;217;197;62;;;;;;;
;d_cote_nord;230;230;230;;;;Côte-Nord;;;
;d_saguenay;47;117;62;;;;Saguenay;;;
;d_anticosti_island;180;150;150;;;;Anticosti Island;;;
;d_sept_rivieres;130;170;200;;;;Sept-Rivières;;;
;k_nunavik;105;126;125;;;;Nunavik;;;
;d_kativik;100;100;120;;;;Kativik;;;
;d_labrador;150;180;190;;;;Labrador;;;
;d_torngat;160;160;160;;;;Torngat;;;
;k_newfoundland;26;164;141;;;;Newfoundland;Newfoundland;Newfoundland;Newfoundland
;d_avalon;26;145;181;;;;Avalon;;;
;d_newfoundland;36;175;161;;;;Newfoundland;Newfoundland;Newfoundland;Newfoundland
;d_miquelon;150;180;200;;;;Miquelon;;;
;k_jamesie;32;150;120;;;;Jamésie;;;
;d_eeyou_istchee;12;150;100;;;;Eeyou Istchee;;;
;d_baie_james;2;180;80;;;;Baie-James;;;
;d_noranda;35;120;80;;;;Noranda;;;
;d_mushkegowuk;42;190;150;;;;Mushkegowuk;;;
;e_atlantica;113;30;75;;;;Atlantica;;;
;k_hudsonia;223;89;10;;;;Hudsonia;;;
;d_adirondack;123;100;66;;;;Adirondack;;;
;d_finger_lakes;160;87;63;;;;Finger Lakes;;;
;d_onondaga;95;102;197;;;;;;;
;d_mohawk_valley;183;158;72;;;;Mohawk Valley;;;
;d_hudson_valley;166;66;10;;;;Hudson Valley;;;
;d_champlain;67;120;103;;;;Champlain;;;
;d_catskill;37;141;43;;;;Catskill;;;
;k_new_york;2;128;255;;;;Gotham;;;
;d_new_york;89;179;1;;;;New York;;;
;d_long_island;6;150;204;;;;Long Island;;;
;d_north_jersey;186;171;205;;;;Raritan;;;
;d_jersey;134;191;54;;;;South Jersey;;;
;d_connecticut;222;153;146;;;;Connecticut;;;
;k_columbia;174;221;225;;;;Columbia;;;
;d_delaware_valley;55;124;208;;;;Delaware Valley;;;
;d_delmarva;199;164;41;;;;Delmarva;;;
;d_maryland;92;86;71;;;;Maryland;;;
;d_capital;166;210;255;;;;The Potomac;;;
;k_deitscherei;129;35;65;;;;Deitscherei;;;
;d_coalland;99;100;87;;;;Coalland;;;
;d_upper_susquehanna;162;181;30;;;;Upper Susquehanna;;;
;d_lower_susquehanna;134;133;121;;;;Lower Susquehanna;;;
;k_new_england;100;175;145;;;;New England;;;
;d_green_mountains;34;177;76;;;;Green Mountains;;;
;d_massachusetts;31;44;92;;;;Massachusetts;;;
;d_boston;190;200;120;;;;Boston;;;
;d_white_mountains;65;99;235;;;;;;;
;d_maine;100;55;100;;;;Maine;;;
;d_penobscot;50;67;70;;;;Penobscot;;;
;d_aroostook;71;194;99;;;;Aroostook;;;
;e_aztlan;90;120;70;;;;Aztlán;;;
