e_;k_;d_;c_;c_local;provid;b_;b_local;culture;faith;terrain;baronytype
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_s_o_paulo;São Paulo;1;b_br_27_s_o_paulo;São Paulo;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_s_o_paulo;São Paulo;2;b_br_27_guarulhos;Guarulhos;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_s_o_paulo;São Paulo;3;b_br_27_s_o_bernardo_do_campo;São Bernardo do Campo;paulistano;apostolicism;plains;none
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_osasco;Osasco;4;b_br_27_osasco;Osasco;paulistano;johrei;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_osasco;Osasco;5;b_br_27_barueri;Barueri;paulistano;johrei;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_osasco;Osasco;6;b_br_27_itapecerica_da_serra;Itapecerica da Serra;paulistano;johrei;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_mogi_das_cruzes;Mogi das Cruzes;7;b_br_27_mogi_das_cruzes;Mogi das Cruzes;paulistano;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_grande_sao_paulo;c_br_27_mogi_das_cruzes;Mogi das Cruzes;8;b_br_27_biritiba_mirim;Biritiba Mirim;paulistano;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_campinas;Campinas;9;b_br_27_campinas;Campinas;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_campinas;Campinas;10;b_br_27_sumar_;Sumaré;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_campinas;Campinas;11;b_br_27_cosm_polis;Cosmópolis;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_campinas;Campinas;12;b_br_27_paul_nia;Paulínia;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_jundia_;Jundiaí;13;b_br_27_jundia_;Jundiaí;paulistano;kardecist;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_jundia_;Jundiaí;14;b_br_27_itatiba;Itatiba;paulistano;kardecist;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_jundia_;Jundiaí;15;b_br_27_cabre_va;Cabreúva;paulistano;kardecist;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_bragan_a_paulista;Bragança Paulista;16;b_br_27_bragan_a_paulista;Bragança Paulista;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_bragan_a_paulista;Bragança Paulista;17;b_br_27_atibaia;Atibaia;capiau;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_bragan_a_paulista;Bragança Paulista;18;b_br_27_piracaia;Piracaia;capiau;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_amparo;Amparo;19;b_br_27_amparo;Amparo;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_campinas;c_br_27_amparo;Amparo;20;b_br_27_socorro;Socorro;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;21;b_br_27_ribeir_o_preto;Ribeirão Preto;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;22;b_br_27_jaboticabal;Jaboticabal;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;23;b_br_27_sert_ozinho;Sertãozinho;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;24;b_br_27_batatais;Batatais;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;25;b_br_27_cajuru;Cajuru;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_ribeir_o_preto;Ribeirão Preto;26;b_br_27_santa_rosa_de_viterbo;Santa Rosa de Viterbo;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_franca;Franca;27;b_br_27_franca;Franca;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_franca;Franca;28;b_br_27_ituverava;Ituverava;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_franca;Franca;29;b_br_27_pedregulho;Pedregulho;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_barretos;Barretos;30;b_br_27_bebedouro;Bebedouro;caipira;apostolicism;plains;castle_holding
